1.534382786	1
1.551749743	0
1.551815495	1
1.562306461	0
2.317140577	1
2.317162887	2
2.317173018	3
2.317182009	4
2.317192404	5
2.317202140	6
2.317211864	7
2.317221774	8
2.317230837	9
2.317239792	10
2.317249188	11
2.317258327	12
2.317270336	13
2.317280457	14
2.317289492	15
2.317298372	16
2.317308117	17
2.317318493	18
2.317327729	19
2.317337266	20
2.317346740	21
2.317357003	22
2.317369168	23
2.317379963	24
2.317389731	25
2.317398998	26
2.317409742	27
2.317418925	28
2.317428214	29
2.317437780	30
2.317448169	31
2.317460692	31
2.322981644	30
2.323385087	29
2.323774354	28
2.324090977	27
2.324270366	26
2.324485453	25
2.324655115	24
2.324840574	23
2.325025801	22
2.325211145	21
2.325379198	20
2.325563053	19
2.325747348	18
2.325915787	17
2.326098672	16
2.326281947	15
2.326447620	14
2.326629096	13
2.326794752	12
2.326975004	11
2.327139067	10
2.327302531	9
2.327480839	8
2.327642440	7
2.327804109	6
2.327964934	5
2.328142224	4
2.328303314	3
2.328462891	2
2.328621597	1
2.328780334	0
2.328938137	0
2.329809388	1
2.329814990	2
2.329820163	3
2.329824568	4
2.329829356	5
2.329835964	6
2.329840900	7
2.329845723	8
2.329850236	9
2.329854921	10
2.329859645	11
2.329864184	12
2.329868678	13
2.329874253	14
2.329879331	15
2.329883869	16
2.329888920	17
2.329893586	18
2.329898330	19
2.329903821	20
2.329908421	21
2.329912963	22
2.329920207	23
2.329924918	24
2.329929406	25
2.329933982	26
2.329939167	27
2.329946832	28
2.329951371	29
2.329955884	30
2.329961126	31
2.329965756	31
2.335788842	30
2.336194434	29
2.336601201	28
2.336894883	27
2.337082083	26
2.337268581	25
2.337456559	24
2.337641600	23
2.337810088	22
2.337996046	21
2.338206350	20
2.338374910	19
2.338558706	18
2.338725215	17
2.338909328	16
2.339092726	15
2.339258860	14
2.339439403	13
2.339603629	12
2.339784708	11
2.339947954	10
2.340111772	9
2.340290416	8
2.340451991	7
2.340613207	6
2.340773976	5
2.340952365	4
2.341113058	3
2.341272864	2
2.341430935	1
2.341589397	0
2.341747114	0
2.346318563	1
2.346327959	2
2.346334887	3
2.346342018	4
